t,x
0.000000,0.000000
0.000125,0.328855
0.000250,-0.073005
0.000375,0.536856
0.000500,0.404508
0.000625,0.249808
0.000750,0.793844
0.000875,0.286327
0.001000,0.475528
0.001125,0.638452
0.001250,0.053553
0.001375,0.473381
0.001500,0.154508
0.001625,-0.172902
0.001750,0.221783
0.001875,-0.403474
0.002000,-0.293893
0.002125,-0.168071
0.002250,-0.745503
0.002375,-0.274053
0.002500,-0.500000
0.002625,-0.698317
0.002750,-0.145503
0.002875,-0.592335
0.003000,-0.293893
0.003125,0.020790
0.003250,-0.378217
0.003375,0.251362
0.003500,0.154508
0.003625,0.049117
0.003750,0.653553
0.003875,0.214188
0.004000,0.475528
0.004125,0.710591
0.004250,0.193844
0.004375,0.674072
0.004500,0.404508
0.004625,0.112592
0.004750,0.526995
0.004875,-0.095409
0.005000,0.000000
0.005125,0.095409
0.005250,-0.526995
0.005375,-0.112592
0.005500,-0.404508
0.005625,-0.674072
0.005750,-0.193844
0.005875,-0.710591
0.006000,-0.475528
0.006125,-0.214188
0.006250,-0.653553
0.006375,-0.049117
0.006500,-0.154508
0.006625,-0.251362
0.006750,0.378217
0.006875,-0.020790
0.007000,0.293893
0.007125,0.592335
0.007250,0.145503
0.007375,0.698317
0.007500,0.500000
0.007625,0.274053
0.007750,0.745503
0.007875,0.168071
0.008000,0.293893
0.008125,0.403474
0.008250,-0.221783
0.008375,0.172902
0.008500,-0.154508
0.008625,-0.473381
0.008750,-0.053553
0.008875,-0.638452
0.009000,-0.475528
0.009125,-0.286327
0.009250,-0.793844
0.009375,-0.249808
0.009500,-0.404508
0.009625,-0.536856
0.009750,0.073005
0.009875,-0.328855
0.010000,0.000000
0.010125,0.328855
0.010250,-0.073005
0.010375,0.536856
0.010500,0.404508
0.010625,0.249808
0.010750,0.793844
0.010875,0.286327
0.011000,0.475528
0.011125,0.638452
0.011250,0.053553
0.011375,0.473381
0.011500,0.154508
0.011625,-0.172902
0.011750,0.221783
0.011875,-0.403474
0.012000,-0.293893
0.012125,-0.168071
0.012250,-0.745503
0.012375,-0.274053
0.012500,-0.500000
0.012625,-0.698317
0.012750,-0.145503
0.012875,-0.592335
0.013000,-0.293893
0.013125,0.020790
0.013250,-0.378217
0.013375,0.251362
0.013500,0.154508
0.013625,0.049117
0.013750,0.653553
0.013875,0.214188
0.014000,0.475528
0.014125,0.710591
0.014250,0.193844
0.014375,0.674072
0.014500,0.404508
0.014625,0.112592
0.014750,0.526995
0.014875,-0.095409
0.015000,-0.000000
0.015125,0.095409
0.015250,-0.526995
0.015375,-0.112592
0.015500,-0.404508
0.015625,-0.674072
0.015750,-0.193844
0.015875,-0.710591
0.016000,-0.475528
0.016125,-0.214188
0.016250,-0.653553
0.016375,-0.049117
0.016500,-0.154508
0.016625,-0.251362
0.016750,0.378217
0.016875,-0.020790
0.017000,0.293893
0.017125,0.592335
0.017250,0.145503
0.017375,0.698317
0.017500,0.500000
0.017625,0.274053
0.017750,0.745503
0.017875,0.168071
0.018000,0.293893
0.018125,0.403474
0.018250,-0.221783
0.018375,0.172902
0.018500,-0.154508
0.018625,-0.473381
0.018750,-0.053553
0.018875,-0.638452
0.019000,-0.475528
0.019125,-0.286327
0.019250,-0.793844
0.019375,-0.249808
0.019500,-0.404508
0.019625,-0.536856
0.019750,0.073005
0.019875,-0.328855
0.020000,0.000000
0.020125,0.328855
0.020250,-0.073005
0.020375,0.536856
0.020500,0.404508
0.020625,0.249808
0.020750,0.793844
0.020875,0.286327
0.021000,0.475528
0.021125,0.638452
0.021250,0.053553
0.021375,0.473381
0.021500,0.154508
0.021625,-0.172902
0.021750,0.221783
0.021875,-0.403474
0.022000,-0.293893
0.022125,-0.168071
0.022250,-0.745503
0.022375,-0.274053
0.022500,-0.500000
0.022625,-0.698317
0.022750,-0.145503
0.022875,-0.592335
0.023000,-0.293893
0.023125,0.020790
0.023250,-0.378217
0.023375,0.251362
0.023500,0.154508
0.023625,0.049117
0.023750,0.653553
0.023875,0.214188
0.024000,0.475528
0.024125,0.710591
0.024250,0.193844
0.024375,0.674072
0.024500,0.404508
0.024625,0.112592
0.024750,0.526995
0.024875,-0.095409
0.025000,-0.000000
0.025125,0.095409
0.025250,-0.526995
0.025375,-0.112592
0.025500,-0.404508
0.025625,-0.674072
0.025750,-0.193844
0.025875,-0.710591
0.026000,-0.475528
0.026125,-0.214188
0.026250,-0.653553
0.026375,-0.049117
0.026500,-0.154508
0.026625,-0.251362
0.026750,0.378217
0.026875,-0.020790
0.027000,0.293893
0.027125,0.592335
0.027250,0.145503
0.027375,0.698317
0.027500,0.500000
0.027625,0.274053
0.027750,0.745503
0.027875,0.168071
0.028000,0.293893
0.028125,0.403474
0.028250,-0.221783
0.028375,0.172902
0.028500,-0.154508
0.028625,-0.473381
0.028750,-0.053553
0.028875,-0.638452
0.029000,-0.475528
0.029125,-0.286327
0.029250,-0.793844
0.029375,-0.249808
0.029500,-0.404508
0.029625,-0.536856
0.029750,0.073005
0.029875,-0.328855
0.030000,-0.000000
0.030125,0.328855
0.030250,-0.073005
0.030375,0.536856
0.030500,0.404508
0.030625,0.249808
0.030750,0.793844
0.030875,0.286327
0.031000,0.475528
0.031125,0.638452
0.031250,0.053553
0.031375,0.473381
0.031500,0.154508
0.031625,-0.172902
0.031750,0.221783
0.031875,-0.403474
0.032000,-0.293893
0.032125,-0.168071
0.032250,-0.745503
0.032375,-0.274053
0.032500,-0.500000
0.032625,-0.698317
0.032750,-0.145503
0.032875,-0.592335
0.033000,-0.293893
0.033125,0.020790
0.033250,-0.378217
0.033375,0.251362
0.033500,0.154508
0.033625,0.049117
0.033750,0.653553
0.033875,0.214188
0.034000,0.475528
0.034125,0.710591
0.034250,0.193844
0.034375,0.674072
0.034500,0.404508
0.034625,0.112592
0.034750,0.526995
0.034875,-0.095409
0.035000,0.000000
0.035125,0.095409
0.035250,-0.526995
0.035375,-0.112592
0.035500,-0.404508
0.035625,-0.674072
0.035750,-0.193844
0.035875,-0.710591
0.036000,-0.475528
0.036125,-0.214188
0.036250,-0.653553
0.036375,-0.049117
0.036500,-0.154508
0.036625,-0.251362
0.036750,0.378217
0.036875,-0.020790
0.037000,0.293893
0.037125,0.592335
0.037250,0.145503
0.037375,0.698317
0.037500,0.500000
0.037625,0.274053
0.037750,0.745503
0.037875,0.168071
0.038000,0.293893
0.038125,0.403474
0.038250,-0.221783
0.038375,0.172902
0.038500,-0.154508
0.038625,-0.473381
0.038750,-0.053553
0.038875,-0.638452
0.039000,-0.475528
0.039125,-0.286327
0.039250,-0.793844
0.039375,-0.249808
0.039500,-0.404508
0.039625,-0.536856
0.039750,0.073005
0.039875,-0.328855
0.040000,0.000000
0.040125,0.328855
0.040250,-0.073005
0.040375,0.536856
0.040500,0.404508
0.040625,0.249808
0.040750,0.793844
0.040875,0.286327
0.041000,0.475528
0.041125,0.638452
0.041250,0.053553
0.041375,0.473381
0.041500,0.154508
0.041625,-0.172902
0.041750,0.221783
0.041875,-0.403474
0.042000,-0.293893
0.042125,-0.168071
0.042250,-0.745503
0.042375,-0.274053
0.042500,-0.500000
0.042625,-0.698317
0.042750,-0.145503
0.042875,-0.592335
0.043000,-0.293893
0.043125,0.020790
0.043250,-0.378217
0.043375,0.251362
0.043500,0.154508
0.043625,0.049117
0.043750,0.653553
0.043875,0.214188
0.044000,0.475528
0.044125,0.710591
0.044250,0.193844
0.044375,0.674072
0.044500,0.404508
0.044625,0.112592
0.044750,0.526995
0.044875,-0.095409
0.045000,-0.000000
0.045125,0.095409
0.045250,-0.526995
0.045375,-0.112592
0.045500,-0.404508
0.045625,-0.674072
0.045750,-0.193844
0.045875,-0.710591
0.046000,-0.475528
0.046125,-0.214188
0.046250,-0.653553
0.046375,-0.049117
0.046500,-0.154508
0.046625,-0.251362
0.046750,0.378217
0.046875,-0.020790
0.047000,0.293893
0.047125,0.592335
0.047250,0.145503
0.047375,0.698317
0.047500,0.500000
0.047625,0.274053
0.047750,0.745503
0.047875,0.168071
0.048000,0.293893
0.048125,0.403474
0.048250,-0.221783
0.048375,0.172902
0.048500,-0.154508
0.048625,-0.473381
0.048750,-0.053553
0.048875,-0.638452
0.049000,-0.475528
0.049125,-0.286327
0.049250,-0.793844
0.049375,-0.249808
0.049500,-0.404508
0.049625,-0.536856
0.049750,0.073005
0.049875,-0.328855
0.050000,-0.000000
0.050125,0.328855
0.050250,-0.073005
0.050375,0.536856
0.050500,0.404508
0.050625,0.249808
0.050750,0.793844
0.050875,0.286327
0.051000,0.475528
0.051125,0.638452
0.051250,0.053553
0.051375,0.473381
0.051500,0.154508
0.051625,-0.172902
0.051750,0.221783
0.051875,-0.403474
0.052000,-0.293893
0.052125,-0.168071
0.052250,-0.745503
0.052375,-0.274053
0.052500,-0.500000
0.052625,-0.698317
0.052750,-0.145503
0.052875,-0.592335
0.053000,-0.293893
0.053125,0.020790
0.053250,-0.378217
0.053375,0.251362
0.053500,0.154508
0.053625,0.049117
0.053750,0.653553
0.053875,0.214188
0.054000,0.475528
0.054125,0.710591
0.054250,0.193844
0.054375,0.674072
0.054500,0.404508
0.054625,0.112592
0.054750,0.526995
0.054875,-0.095409
0.055000,-0.000000
0.055125,0.095409
0.055250,-0.526995
0.055375,-0.112592
0.055500,-0.404508
0.055625,-0.674072
0.055750,-0.193844
0.055875,-0.710591
0.056000,-0.475528
0.056125,-0.214188
0.056250,-0.653553
0.056375,-0.049117
0.056500,-0.154508
0.056625,-0.251362
0.056750,0.378217
0.056875,-0.020790
0.057000,0.293893
0.057125,0.592335
0.057250,0.145503
0.057375,0.698317
0.057500,0.500000
0.057625,0.274053
0.057750,0.745503
0.057875,0.168071
0.058000,0.293893
0.058125,0.403474
0.058250,-0.221783
0.058375,0.172902
0.058500,-0.154508
0.058625,-0.473381
0.058750,-0.053553
0.058875,-0.638452
0.059000,-0.475528
0.059125,-0.286327
0.059250,-0.793844
0.059375,-0.249808
0.059500,-0.404508
0.059625,-0.536856
0.059750,0.073005
0.059875,-0.328855
0.060000,-0.000000
0.060125,0.328855
0.060250,-0.073005
0.060375,0.536856
0.060500,0.404508
0.060625,0.249808
0.060750,0.793844
0.060875,0.286327
0.061000,0.475528
0.061125,0.638452
0.061250,0.053553
0.061375,0.473381
0.061500,0.154508
0.061625,-0.172902
0.061750,0.221783
0.061875,-0.403474
0.062000,-0.293893
0.062125,-0.168071
0.062250,-0.745503
0.062375,-0.274053
0.062500,-0.500000
0.062625,-0.698317
0.062750,-0.145503
0.062875,-0.592335
0.063000,-0.293893
0.063125,0.020790
0.063250,-0.378217
0.063375,0.251362
0.063500,0.154508
0.063625,0.049117
0.063750,0.653553
0.063875,0.214188
0.064000,0.475528
0.064125,0.710591
0.064250,0.193844
0.064375,0.674072
0.064500,0.404508
0.064625,0.112592
0.064750,0.526995
0.064875,-0.095409
0.065000,-0.000000
0.065125,0.095409
0.065250,-0.526995
0.065375,-0.112592
0.065500,-0.404508
0.065625,-0.674072
0.065750,-0.193844
0.065875,-0.710591
0.066000,-0.475528
0.066125,-0.214188
0.066250,-0.653553
0.066375,-0.049117
0.066500,-0.154508
0.066625,-0.251362
0.066750,0.378217
0.066875,-0.020790
0.067000,0.293893
0.067125,0.592335
0.067250,0.145503
0.067375,0.698317
0.067500,0.500000
0.067625,0.274053
0.067750,0.745503
0.067875,0.168071
0.068000,0.293893
0.068125,0.403474
0.068250,-0.221783
0.068375,0.172902
0.068500,-0.154508
0.068625,-0.473381
0.068750,-0.053553
0.068875,-0.638452
0.069000,-0.475528
0.069125,-0.286327
0.069250,-0.793844
0.069375,-0.249808
0.069500,-0.404508
0.069625,-0.536856
0.069750,0.073005
0.069875,-0.328855
0.070000,0.000000
0.070125,0.328855
0.070250,-0.073005
0.070375,0.536856
0.070500,0.404508
0.070625,0.249808
0.070750,0.793844
0.070875,0.286327
0.071000,0.475528
0.071125,0.638452
0.071250,0.053553
0.071375,0.473381
0.071500,0.154508
0.071625,-0.172902
0.071750,0.221783
0.071875,-0.403474
0.072000,-0.293893
0.072125,-0.168071
0.072250,-0.745503
0.072375,-0.274053
0.072500,-0.500000
0.072625,-0.698317
0.072750,-0.145503
0.072875,-0.592335
0.073000,-0.293893
0.073125,0.020790
0.073250,-0.378217
0.073375,0.251362
0.073500,0.154508
0.073625,0.049117
0.073750,0.653553
0.073875,0.214188
0.074000,0.475528
0.074125,0.710591
0.074250,0.193844
0.074375,0.674072
0.074500,0.404508
0.074625,0.112592
0.074750,0.526995
0.074875,-0.095409
0.075000,-0.000000
0.075125,0.095409
0.075250,-0.526995
0.075375,-0.112592
0.075500,-0.404508
0.075625,-0.674072
0.075750,-0.193844
0.075875,-0.710591
0.076000,-0.475528
0.076125,-0.214188
0.076250,-0.653553
0.076375,-0.049117
0.076500,-0.154508
0.076625,-0.251362
0.076750,0.378217
0.076875,-0.020790
0.077000,0.293893
0.077125,0.592335
0.077250,0.145503
0.077375,0.698317
0.077500,0.500000
0.077625,0.274053
0.077750,0.745503
0.077875,0.168071
0.078000,0.293893
0.078125,0.403474
0.078250,-0.221783
0.078375,0.172902
0.078500,-0.154508
0.078625,-0.473381
0.078750,-0.053553
0.078875,-0.638452
0.079000,-0.475528
0.079125,-0.286327
0.079250,-0.793844
0.079375,-0.249808
0.079500,-0.404508
0.079625,-0.536856
0.079750,0.073005
0.079875,-0.328855
0.080000,0.000000
0.080125,0.328855
0.080250,-0.073005
0.080375,0.536856
0.080500,0.404508
0.080625,0.249808
0.080750,0.793844
0.080875,0.286327
0.081000,0.475528
0.081125,0.638452
0.081250,0.053553
0.081375,0.473381
0.081500,0.154508
0.081625,-0.172902
0.081750,0.221783
0.081875,-0.403474
0.082000,-0.293893
0.082125,-0.168071
0.082250,-0.745503
0.082375,-0.274053
0.082500,-0.500000
0.082625,-0.698317
0.082750,-0.145503
0.082875,-0.592335
0.083000,-0.293893
0.083125,0.020790
0.083250,-0.378217
0.083375,0.251362
0.083500,0.154508
0.083625,0.049117
0.083750,0.653553
0.083875,0.214188
0.084000,0.475528
0.084125,0.710591
0.084250,0.193844
0.084375,0.674072
0.084500,0.404508
0.084625,0.112592
0.084750,0.526995
0.084875,-0.095409
0.085000,-0.000000
0.085125,0.095409
0.085250,-0.526995
0.085375,-0.112592
0.085500,-0.404508
0.085625,-0.674072
0.085750,-0.193844
0.085875,-0.710591
0.086000,-0.475528
0.086125,-0.214188
0.086250,-0.653553
0.086375,-0.049117
0.086500,-0.154508
0.086625,-0.251362
0.086750,0.378217
0.086875,-0.020790
0.087000,0.293893
0.087125,0.592335
0.087250,0.145503
0.087375,0.698317
0.087500,0.500000
0.087625,0.274053
0.087750,0.745503
0.087875,0.168071
0.088000,0.293893
0.088125,0.403474
0.088250,-0.221783
0.088375,0.172902
0.088500,-0.154508
0.088625,-0.473381
0.088750,-0.053553
0.088875,-0.638452
0.089000,-0.475528
0.089125,-0.286327
0.089250,-0.793844
0.089375,-0.249808
0.089500,-0.404508
0.089625,-0.536856
0.089750,0.073005
0.089875,-0.328855
0.090000,-0.000000
0.090125,0.328855
0.090250,-0.073005
0.090375,0.536856
0.090500,0.404508
0.090625,0.249808
0.090750,0.793844
0.090875,0.286327
0.091000,0.475528
0.091125,0.638452
0.091250,0.053553
0.091375,0.473381
0.091500,0.154508
0.091625,-0.172902
0.091750,0.221783
0.091875,-0.403474
0.092000,-0.293893
0.092125,-0.168071
0.092250,-0.745503
0.092375,-0.274053
0.092500,-0.500000
0.092625,-0.698317
0.092750,-0.145503
0.092875,-0.592335
0.093000,-0.293893
0.093125,0.020790
0.093250,-0.378217
0.093375,0.251362
0.093500,0.154508
0.093625,0.049117
0.093750,0.653553
0.093875,0.214188
0.094000,0.475528
0.094125,0.710591
0.094250,0.193844
0.094375,0.674072
0.094500,0.404508
0.094625,0.112592
0.094750,0.526995
0.094875,-0.095409
0.095000,0.000000
0.095125,0.095409
0.095250,-0.526995
0.095375,-0.112592
0.095500,-0.404508
0.095625,-0.674072
0.095750,-0.193844
0.095875,-0.710591
0.096000,-0.475528
0.096125,-0.214188
0.096250,-0.653553
0.096375,-0.049117
0.096500,-0.154508
0.096625,-0.251362
0.096750,0.378217
0.096875,-0.020790
0.097000,0.293893
0.097125,0.592335
0.097250,0.145503
0.097375,0.698317
0.097500,0.500000
0.097625,0.274053
0.097750,0.745503
0.097875,0.168071
0.098000,0.293893
0.098125,0.403474
0.098250,-0.221783
0.098375,0.172902
0.098500,-0.154508
0.098625,-0.473381
0.098750,-0.053553
0.098875,-0.638452
0.099000,-0.475528
0.099125,-0.286327
0.099250,-0.793844
0.099375,-0.249808
0.099500,-0.404508
0.099625,-0.536856
0.099750,0.073005
0.099875,-0.328855
0.100000,-0.000000
0.100125,0.328855
0.100250,-0.073005
0.100375,0.536856
0.100500,0.404508
0.100625,0.249808
0.100750,0.793844
0.100875,0.286327
0.101000,0.475528
0.101125,0.638452
0.101250,0.053553
0.101375,0.473381
0.101500,0.154508
0.101625,-0.172902
0.101750,0.221783
0.101875,-0.403474
0.102000,-0.293893
0.102125,-0.168071
0.102250,-0.745503
0.102375,-0.274053
0.102500,-0.500000
0.102625,-0.698317
0.102750,-0.145503
0.102875,-0.592335
0.103000,-0.293893
0.103125,0.020790
0.103250,-0.378217
0.103375,0.251362
0.103500,0.154508
0.103625,0.049117
0.103750,0.653553
0.103875,0.214188
0.104000,0.475528
0.104125,0.710591
0.104250,0.193844
0.104375,0.674072
0.104500,0.404508
0.104625,0.112592
0.104750,0.526995
0.104875,-0.095409
0.105000,-0.000000
0.105125,0.095409
0.105250,-0.526995
0.105375,-0.112592
0.105500,-0.404508
0.105625,-0.674072
0.105750,-0.193844
0.105875,-0.710591
0.106000,-0.475528
0.106125,-0.214188
0.106250,-0.653553
0.106375,-0.049117
0.106500,-0.154508
0.106625,-0.251362
0.106750,0.378217
0.106875,-0.020790
0.107000,0.293893
0.107125,0.592335
0.107250,0.145503
0.107375,0.698317
0.107500,0.500000
0.107625,0.274053
0.107750,0.745503
0.107875,0.168071
0.108000,0.293893
0.108125,0.403474
0.108250,-0.221783
0.108375,0.172902
0.108500,-0.154508
0.108625,-0.473381
0.108750,-0.053553
0.108875,-0.638452
0.109000,-0.475528
0.109125,-0.286327
0.109250,-0.793844
0.109375,-0.249808
0.109500,-0.404508
0.109625,-0.536856
0.109750,0.073005
0.109875,-0.328855
0.110000,-0.000000
0.110125,0.328855
0.110250,-0.073005
0.110375,0.536856
0.110500,0.404508
0.110625,0.249808
0.110750,0.793844
0.110875,0.286327
0.111000,0.475528
0.111125,0.638452
0.111250,0.053553
0.111375,0.473381
0.111500,0.154508
0.111625,-0.172902
0.111750,0.221783
0.111875,-0.403474
0.112000,-0.293893
0.112125,-0.168071
0.112250,-0.745503
0.112375,-0.274053
0.112500,-0.500000
0.112625,-0.698317
0.112750,-0.145503
0.112875,-0.592335
0.113000,-0.293893
0.113125,0.020790
0.113250,-0.378217
0.113375,0.251362
0.113500,0.154508
0.113625,0.049117
0.113750,0.653553
0.113875,0.214188
0.114000,0.475528
0.114125,0.710591
0.114250,0.193844
0.114375,0.674072
0.114500,0.404508
0.114625,0.112592
0.114750,0.526995
0.114875,-0.095409
0.115000,0.000000
0.115125,0.095409
0.115250,-0.526995
0.115375,-0.112592
0.115500,-0.404508
0.115625,-0.674072
0.115750,-0.193844
0.115875,-0.710591
0.116000,-0.475528
0.116125,-0.214188
0.116250,-0.653553
0.116375,-0.049117
0.116500,-0.154508
0.116625,-0.251362
0.116750,0.378217
0.116875,-0.020790
0.117000,0.293893
0.117125,0.592335
0.117250,0.145503
0.117375,0.698317
0.117500,0.500000
0.117625,0.274053
0.117750,0.745503
0.117875,0.168071
0.118000,0.293893
0.118125,0.403474
0.118250,-0.221783
0.118375,0.172902
0.118500,-0.154508
0.118625,-0.473381
0.118750,-0.053553
0.118875,-0.638452
0.119000,-0.475528
0.119125,-0.286327
0.119250,-0.793844
0.119375,-0.249808
0.119500,-0.404508
0.119625,-0.536856
0.119750,0.073005
0.119875,-0.328855
0.120000,-0.000000
0.120125,0.328855
0.120250,-0.073005
0.120375,0.536856
0.120500,0.404508
0.120625,0.249808
0.120750,0.793844
0.120875,0.286327
0.121000,0.475528
0.121125,0.638452
0.121250,0.053553
0.121375,0.473381
0.121500,0.154508
0.121625,-0.172902
0.121750,0.221783
0.121875,-0.403474
0.122000,-0.293893
0.122125,-0.168071
0.122250,-0.745503
0.122375,-0.274053
0.122500,-0.500000
0.122625,-0.698317
0.122750,-0.145503
0.122875,-0.592335
0.123000,-0.293893
0.123125,0.020790
0.123250,-0.378217
0.123375,0.251362
0.123500,0.154508
0.123625,0.049117
0.123750,0.653553
0.123875,0.214188
0.124000,0.475528
0.124125,0.710591
0.124250,0.193844
0.124375,0.674072
0.124500,0.404508
0.124625,0.112592
0.124750,0.526995
0.124875,-0.095409
0.125000,-0.000000
0.125125,0.095409
0.125250,-0.526995
0.125375,-0.112592
0.125500,-0.404508
0.125625,-0.674072
0.125750,-0.193844
0.125875,-0.710591
0.126000,-0.475528
0.126125,-0.214188
0.126250,-0.653553
0.126375,-0.049117
0.126500,-0.154508
0.126625,-0.251362
0.126750,0.378217
0.126875,-0.020790
0.127000,0.293893
0.127125,0.592335
0.127250,0.145503
0.127375,0.698317
0.127500,0.500000
0.127625,0.274053
0.127750,0.745503
0.127875,0.168071
0.128000,0.293893
0.128125,0.403474
0.128250,-0.221783
0.128375,0.172902
0.128500,-0.154508
0.128625,-0.473381
0.128750,-0.053553
0.128875,-0.638452
0.129000,-0.475528
0.129125,-0.286327
0.129250,-0.793844
0.129375,-0.249808
0.129500,-0.404508
0.129625,-0.536856
0.129750,0.073005
0.129875,-0.328855
0.130000,-0.000000
0.130125,0.328855
0.130250,-0.073005
0.130375,0.536856
0.130500,0.404508
0.130625,0.249808
0.130750,0.793844
0.130875,0.286327
0.131000,0.475528
0.131125,0.638452
0.131250,0.053553
0.131375,0.473381
0.131500,0.154508
0.131625,-0.172902
0.131750,0.221783
0.131875,-0.403474
0.132000,-0.293893
0.132125,-0.168071
0.132250,-0.745503
0.132375,-0.274053
0.132500,-0.500000
0.132625,-0.698317
0.132750,-0.145503
0.132875,-0.592335
0.133000,-0.293893
0.133125,0.020790
0.133250,-0.378217
0.133375,0.251362
0.133500,0.154508
0.133625,0.049117
0.133750,0.653553
0.133875,0.214188
0.134000,0.475528
0.134125,0.710591
0.134250,0.193844
0.134375,0.674072
0.134500,0.404508
0.134625,0.112592
0.134750,0.526995
0.134875,-0.095409
0.135000,0.000000
0.135125,0.095409
0.135250,-0.526995
0.135375,-0.112592
0.135500,-0.404508
0.135625,-0.674072
0.135750,-0.193844
0.135875,-0.710591
0.136000,-0.475528
0.136125,-0.214188
0.136250,-0.653553
0.136375,-0.049117
0.136500,-0.154508
0.136625,-0.251362
0.136750,0.378217
0.136875,-0.020790
0.137000,0.293893
0.137125,0.592335
0.137250,0.145503
0.137375,0.698317
0.137500,0.500000
0.137625,0.274053
0.137750,0.745503
0.137875,0.168071
0.138000,0.293893
0.138125,0.403474
0.138250,-0.221783
0.138375,0.172902
0.138500,-0.154508
0.138625,-0.473381
0.138750,-0.053553
0.138875,-0.638452
0.139000,-0.475528
0.139125,-0.286327
0.139250,-0.793844
0.139375,-0.249808
0.139500,-0.404508
0.139625,-0.536856
0.139750,0.073005
0.139875,-0.328855
0.140000,0.000000
0.140125,0.328855
0.140250,-0.073005
0.140375,0.536856
0.140500,0.404508
0.140625,0.249808
0.140750,0.793844
0.140875,0.286327
0.141000,0.475528
0.141125,0.638452
0.141250,0.053553
0.141375,0.473381
0.141500,0.154508
0.141625,-0.172902
0.141750,0.221783
0.141875,-0.403474
0.142000,-0.293893
0.142125,-0.168071
0.142250,-0.745503
0.142375,-0.274053
0.142500,-0.500000
0.142625,-0.698317
0.142750,-0.145503
0.142875,-0.592335
0.143000,-0.293893
0.143125,0.020790
0.143250,-0.378217
0.143375,0.251362
0.143500,0.154508
0.143625,0.049117
0.143750,0.653553
0.143875,0.214188
0.144000,0.475528
0.144125,0.710591
0.144250,0.193844
0.144375,0.674072
0.144500,0.404508
0.144625,0.112592
0.144750,0.526995
0.144875,-0.095409
0.145000,-0.000000
0.145125,0.095409
0.145250,-0.526995
0.145375,-0.112592
0.145500,-0.404508
0.145625,-0.674072
0.145750,-0.193844
0.145875,-0.710591
0.146000,-0.475528
0.146125,-0.214188
0.146250,-0.653553
0.146375,-0.049117
0.146500,-0.154508
0.146625,-0.251362
0.146750,0.378217
0.146875,-0.020790
0.147000,0.293893
0.147125,0.592335
0.147250,0.145503
0.147375,0.698317
0.147500,0.500000
0.147625,0.274053
0.147750,0.745503
0.147875,0.168071
0.148000,0.293893
0.148125,0.403474
0.148250,-0.221783
0.148375,0.172902
0.148500,-0.154508
0.148625,-0.473381
0.148750,-0.053553
0.148875,-0.638452
0.149000,-0.475528
0.149125,-0.286327
